epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,950.689,0.18951,0.17461,0.77755,0.99736,1,0.995,0.99267,0.13212,0.15493,0.81904,0.000390572,0.000390572,0.000390572
133,958.227,0.18558,0.16767,0.77949,0.99701,1,0.995,0.99242,0.10931,0.15853,0.81881,0.000385073,0.000385073,0.000385073
134,965.169,0.18145,0.1693,0.78312,0.99783,1,0.995,0.99427,0.12082,0.13063,0.82057,0.000379573,0.000379573,0.000379573
135,972.426,0.18945,0.17353,0.78058,0.99756,1,0.995,0.99269,0.10872,0.13611,0.81988,0.000374074,0.000374074,0.000374074
136,980.049,0.18505,0.17,0.7785,0.99802,1,0.995,0.99216,0.10334,0.1318,0.8202,0.000368574,0.000368574,0.000368574
137,986.68,0.1755,0.16701,0.77521,0.99763,1,0.995,0.99208,0.10462,0.09399,0.8165,0.000363075,0.000363075,0.000363075
138,994.262,0.18255,0.1684,0.77904,0.99662,1,0.995,0.99379,0.12655,0.09783,0.81819,0.000357575,0.000357575,0.000357575
139,1000.81,0.18118,0.16873,0.77614,0.99638,1,0.995,0.99245,0.13134,0.1341,0.81919,0.000352076,0.000352076,0.000352076
140,1008.41,0.18613,0.16659,0.77838,0.99701,1,0.995,0.99407,0.11354,0.10826,0.81874,0.000346576,0.000346576,0.000346576
141,1015.11,0.18793,0.17037,0.78196,0.99718,1,0.995,0.99379,0.11448,0.10178,0.8179,0.000341077,0.000341077,0.000341077
142,1022.76,0.17146,0.16234,0.77952,0.99702,1,0.995,0.99317,0.1071,0.08951,0.81683,0.000335578,0.000335578,0.000335578
143,1029.43,0.17471,0.16426,0.78234,0.99751,1,0.995,0.99278,0.11262,0.09639,0.81725,0.000330078,0.000330078,0.000330078
144,1037.01,0.17448,0.15844,0.78151,0.99703,1,0.995,0.99429,0.09649,0.13086,0.81636,0.000324579,0.000324579,0.000324579
145,1044.2,0.17802,0.16207,0.78198,0.99555,1,0.995,0.99323,0.11917,0.12686,0.81788,0.000319079,0.000319079,0.000319079
146,1051.11,0.17521,0.15915,0.77615,0.99602,1,0.995,0.99257,0.11648,0.13813,0.81838,0.00031358,0.00031358,0.00031358
147,1058.89,0.17258,0.1562,0.77867,0.99688,1,0.995,0.99405,0.11639,0.15073,0.81954,0.00030808,0.00030808,0.00030808
148,1065.73,0.16879,0.1614,0.77946,0.99694,1,0.995,0.99232,0.09676,0.09818,0.8174,0.000302581,0.000302581,0.000302581
149,1073.3,0.16813,0.15643,0.77552,0.99725,1,0.995,0.99365,0.0982,0.11655,0.8173,0.000297081,0.000297081,0.000297081
150,1079.78,0.16754,0.15672,0.77253,0.99569,1,0.995,0.9941,0.09561,0.09741,0.81658,0.000291582,0.000291582,0.000291582
151,1087.61,0.18101,0.16017,0.77776,0.99671,1,0.995,0.99327,0.09733,0.14053,0.81919,0.000286083,0.000286083,0.000286083
152,1094.25,0.17722,0.15813,0.77202,0.99686,1,0.995,0.99215,0.10172,0.0977,0.81662,0.000280583,0.000280583,0.000280583
153,1101.96,0.16189,0.148,0.77433,0.99683,1,0.995,0.99339,0.11549,0.11187,0.8171,0.000275084,0.000275084,0.000275084
154,1108.69,0.16411,0.15137,0.77647,0.99713,1,0.995,0.99401,0.11932,0.12079,0.81743,0.000269584,0.000269584,0.000269584
155,1116.09,0.1588,0.15138,0.77698,0.99765,1,0.995,0.9943,0.10718,0.12312,0.81772,0.000264085,0.000264085,0.000264085
156,1123.97,0.16764,0.15762,0.78493,0.99705,1,0.995,0.99427,0.11808,0.09773,0.81743,0.000258585,0.000258585,0.000258585
157,1130.59,0.1612,0.15055,0.77494,0.99651,1,0.995,0.99367,0.10504,0.09575,0.8175,0.000253086,0.000253086,0.000253086
158,1138.21,0.17235,0.15803,0.77831,0.99749,1,0.995,0.99426,0.11892,0.09677,0.81704,0.000247586,0.000247586,0.000247586
159,1144.86,0.16106,0.1483,0.77628,0.99788,1,0.995,0.99462,0.09983,0.09358,0.81558,0.000242087,0.000242087,0.000242087
160,1152.69,0.15819,0.14574,0.78406,0.99766,1,0.995,0.99424,0.09463,0.09321,0.81596,0.000236587,0.000236587,0.000236587
161,1159.51,0.1571,0.14439,0.77553,0.99757,1,0.995,0.99412,0.08838,0.07662,0.81559,0.000231088,0.000231088,0.000231088
