epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,944.036,0.24438,0.24598,0.78843,0.99773,1,0.995,0.97902,0.20614,0.15979,0.83753,0.000594052,0.000594052,0.000594052
143,951.015,0.24214,0.2461,0.78226,0.99807,0.99651,0.995,0.9889,0.16693,0.14675,0.83217,0.000590385,0.000590385,0.000590385
144,957.415,0.24409,0.24437,0.77939,0.99721,0.99965,0.995,0.98788,0.1842,0.17038,0.8354,0.000586719,0.000586719,0.000586719
145,963.835,0.24423,0.2383,0.77772,0.99809,1,0.995,0.98904,0.19769,0.19535,0.83804,0.000583053,0.000583053,0.000583053
146,970.487,0.26755,0.25502,0.78282,0.99796,1,0.995,0.98435,0.21873,0.18368,0.83696,0.000579386,0.000579386,0.000579386
147,976.777,0.25548,0.23914,0.78789,0.99682,0.99991,0.995,0.98525,0.21056,0.16796,0.835,0.00057572,0.00057572,0.00057572
148,983.826,0.25337,0.2411,0.79061,0.99699,1,0.995,0.99104,0.17518,0.16084,0.8319,0.000572054,0.000572054,0.000572054
149,990.141,0.24251,0.22771,0.78693,0.99821,1,0.995,0.98944,0.15829,0.1458,0.83312,0.000568388,0.000568388,0.000568388
150,997.561,0.2353,0.21541,0.76861,0.9981,1,0.995,0.99093,0.17509,0.15705,0.83431,0.000564721,0.000564721,0.000564721
151,1003.66,0.24557,0.22781,0.79035,0.9958,0.99971,0.995,0.99101,0.1677,0.15771,0.83347,0.000561055,0.000561055,0.000561055
152,1011.12,0.23869,0.22917,0.78089,0.99607,1,0.995,0.98681,0.18543,0.16305,0.8358,0.000557389,0.000557389,0.000557389
153,1017.31,0.27567,0.23556,0.79032,0.99664,0.99732,0.995,0.98747,0.18329,0.18574,0.83584,0.000553722,0.000553722,0.000553722
154,1024.7,0.23014,0.2277,0.77473,0.99441,1,0.995,0.98561,0.18578,0.15708,0.83635,0.000550056,0.000550056,0.000550056
155,1030.95,0.23942,0.2321,0.77671,0.99538,1,0.995,0.98928,0.17661,0.15818,0.83523,0.00054639,0.00054639,0.00054639
156,1037.89,0.24309,0.22565,0.77894,0.9966,1,0.995,0.98695,0.18097,0.16045,0.83422,0.000542723,0.000542723,0.000542723
157,1044.3,0.24238,0.23307,0.77873,0.99718,1,0.995,0.98929,0.19815,0.16668,0.83606,0.000539057,0.000539057,0.000539057
158,1051.03,0.22961,0.25397,0.79384,0.9965,1,0.995,0.98701,0.18581,0.15039,0.83469,0.000535391,0.000535391,0.000535391
159,1057.61,0.23869,0.23456,0.79187,0.99648,1,0.995,0.99012,0.21117,0.16316,0.83588,0.000531725,0.000531725,0.000531725
160,1063.85,0.24089,0.23409,0.78229,0.99691,1,0.995,0.99103,0.16525,0.15359,0.83588,0.000528058,0.000528058,0.000528058
161,1070.98,0.24936,0.22628,0.78042,0.99637,1,0.995,0.99227,0.17069,0.15529,0.83336,0.000524392,0.000524392,0.000524392
162,1077.04,0.2352,0.22942,0.76876,0.99697,1,0.995,0.98933,0.20223,0.14269,0.83456,0.000520726,0.000520726,0.000520726
163,1084.17,0.22692,0.22293,0.78896,0.99706,1,0.995,0.99001,0.17287,0.14803,0.83234,0.000517059,0.000517059,0.000517059
164,1090.43,0.22932,0.22256,0.7869,0.9961,1,0.995,0.98137,0.20517,0.16716,0.8359,0.000513393,0.000513393,0.000513393
165,1097.83,0.2257,0.21942,0.7968,0.99777,1,0.995,0.98346,0.21666,0.15308,0.83626,0.000509727,0.000509727,0.000509727
